"Issue Type","Epic Name","Epic Link","Summary","Description","Acceptance Criteria","Story Points","Priority","Labels","Component","Sprint","Assignee Role"
"Epic","Camada de Dados PPT","","Camada de Dados PPT","Modelo estrela, agregados materializados e apuracao auditavel da premiacao.","","","Highest","ppt-tirolez","","",""
"Epic","Seguranca e Acesso","","Seguranca e Acesso","Section Access por persona e autenticacao OAuth2 do mashup.","","","Highest","ppt-tirolez","","",""
"Epic","Cockpit - Acompanhamento","","Cockpit - Acompanhamento","Telas 1 e 6: onde estou, quanto vou receber, quem esta em risco.","","","Highest","ppt-tirolez","","",""
"Epic","Cockpit - Execucao Comercial","","Cockpit - Execucao Comercial","Telas 2, 3, 4 e 5: qual PDV visitar e qual SKU vender.","","","Highest","ppt-tirolez","","",""
"Epic","Motor de Recomendacoes","","Motor de Recomendacoes","Transformar numero em frase acionavel com impacto em reais.","","","Highest","ppt-tirolez","","",""
"Epic","Qualidade e Operacao","","Qualidade e Operacao","Testes, monitoramento de carga e governanca de itens mestre.","","","Highest","ppt-tirolez","","",""
"Story","","Camada de Dados PPT","Definir contratos de ingestao de sell-out, metas e sell-in","Acordar com TI Tirolez o layout, a frequencia e o SLA de cada arquivo/tabela de origem. Incluir tratamento de reenvio retroativo.","Layout assinado pelas duas partes; ambiente de homologacao com 1 mes de dado real; regra de reprocessamento documentada.","5","Highest","dados;descoberta","Qlik","Sprint 1","Arquiteto de Dados"
"Story","","Camada de Dados PPT","Construir camada Extract com carga incremental","App PPT_01_Extract gerando 1 QVD por tabela de origem, sem regra de negocio. Incremental por data de movimento, com replay dos 3 ultimos meses.","QVDs raw gerados; recarga completa < 15 min; QVD historico imutavel.","8","Highest","dados;etl","Qlik","Sprint 2","Eng. de Dados"
"Story","","Camada de Dados PPT","Conformar CNPJ e deduplicar DIM_PDV","Normalizar para 14 digitos sem mascara, descartar invalidos e garantir 1 linha por CNPJ. Registrar descartes em QA_REJEITADOS.","QA-08 e QA-90 verdes; nenhum CNPJ duplicado; relatorio de descartes disponivel ao time de cadastro.","5","Highest","dados;qualidade","Qlik","Sprint 2","Eng. de Dados"
"Story","","Camada de Dados PPT","Implementar DIM_HERO com composicao por regiao","Chave composta RegiaoHero|Subcategoria, membro NAOHERO para evitar chave nula e teste de grafia de subcategoria.","QA-07, QA-13 e QA-14 verdes; alterar composicao exige mudar apenas o INLINE do script.","5","Highest","dados;hero;regra","Qlik","Sprint 2","Eng. de Dados"
"Story","","Camada de Dados PPT","Materializar AGG_HERO_PDV_MES","Agregado distribuidor x PDV x mes com flags de categoria, status, categorias faltantes e ultima compra.","QA-10 a QA-17 verdes; apuracao manual de 3 PDVs confere; tabela responde em < 2 s na Tela 3.","8","Highest","dados;hero","Qlik","Sprint 2","Eng. de Dados"
"Story","","Camada de Dados PPT","Construir FACT_PPT_MENSAL com premiacao auditavel","Meta, realizado, atingimento, fator do degrau, premiacao, gaps, ganho do proximo degrau e projecao por dias uteis.","QA-20 a QA-29 verdes; conferencia linha a linha com a planilha oficial de 1 mes fechado.","13","Highest","dados;premiacao;regra","Qlik","Sprint 3","Eng. de Dados"
"Story","","Camada de Dados PPT","Implementar linhas-esqueleto do fato","Gerar ancoras de distribuidor x mes e de oportunidade para que meta e PDV ausente nao fiquem orfaos. Contrato FlagVenda=1 em toda medida de realizado.","QA-50 e QA-94 verdes; distribuidor sem venda aparece com 0%.","5","High","dados;modelo","Qlik","Sprint 3","Eng. de Dados"
"Story","","Camada de Dados PPT","Construir DIM_DATA com dias uteis e feriados","Calendario com dias uteis decorridos e totais por mes, base da projecao de fechamento.","Projecao de mes fechado = realizado; feriados nacionais considerados.","3","High","dados;calendario","Qlik","Sprint 2","Eng. de Dados"
